Animal,Lifespan,Gestation,AvgLength,NumberBabies,Class,Diet,NumberEggs,Eggs
Turtle,80,60,80.4,,Reptilia,Carnivore,110,Yes
Yak,20,270,126,1,Mammalia,Herbivore,,No
Salamander,20,913,6.4,,Amphibia,Carnivore,450,Yes
BlackHowler,20,180,31.2,1,Mammalia,Herbivore,,No
Vicuna,24,335,60,1,Mammalia,Herbivore,,No
Cabybara,10,150,48,5,Mammalia,Herbivore,,No
Donkey,30,425.834,79.2,1,Mammalia,Herbivore,,No
AmericanMink,10,75,16,8,Mammalia,Carnivore,,No
PolarBear,25,265,94.8,2,Mammalia,Carnivore,,No
Okapi,30,456.25,96,1,Mammalia,Herbivore,,No
NorthAmericanBeaver,10,128,36,6,Mammalia,Herbivore,,No
RosyFacedLovebird,15,23,5.9,6,Aves,Herbivore,,Yes
BorneanOragnutan,45,259,42,1,Mammalia,Omnivore,,No
Clown Fish,6,14,4.3,,Actinopterygii,Omnivore,1000,Yes
HarbourPropoise,12,334.584,60,1,Mammalia,Carnivore,,No
Argali,10,160,67.2,1,Mammalia,Herbivore,,No
DesertCottontailRabbit,7.8,28,13,12,Mammalia,Herbivore,,No
Fossa,20,93,28.8,4,Mammalia,Carnivore,,No
Meerkat,14,77,12.7,8,Mammalia,Omnivore,,No
MarshMongoose,17,77,22,4,Mammalia,Omnivore,,No
MynaBird,12,24,9.1,,Aves,Omnivore,6,Yes
Boar,20,115,70.8,12,Mammalia,Omnivore,,No
Hartebeest,20,240,90,1,Mammalia,Herbivore,,No
Moose,25,243,108,1,Mammalia,Herbivore,,No
RedFox,5,58,28,10,Mammalia,Omnivore,,No
GuineaPig,8,72,8.8,8,Mammalia,Herbivore,,No
EmperorPenguin,50,63,45.6,,Aves,Carnivore,1,Yes
BaldEagle,20,35,36,,Aves,Carnivore,2,Yes
AmericanCrow,8,14,19,,Aves,Omnivore,6,Yes
Newt,15,21,3.7,,Amphibia,Carnivore,300,Yes
IndianCrestedPorcupine,27,112,30,4,Mammalia,Herbivore,,No
Octopus,5,1612.09,360,,Cephalopod,Carnivore,10000,Yes
MuskOx,20,274,79.2,1,Mammalia,Herbivore,,No
BlackRat,12,23,15,12,Mammalia,Omnivore,,No
Dingo,18,69,58.8,10,Mammalia,Omnivore,,No
Alpaca,20,365,67,1,Mammalia,Herbivore,,No
ChacoanPeccary,10,152,40.8,2,Mammalia,Herbivore,,No
NineBandedArmadillo,15,122,19,4,Mammalia,Omnivore,,No
RedPanda,14,132,22.8,4,Mammalia,Omnivore,,No
Horse,30,365,96,1,Mammalia,Herbivore,,No
Jaguar,15,105,62.4,4,Mammalia,Carnivore,,No
Cow,22,283,60,1,Mammalia,Herbivore,,No
YorkshireTerrier,16,63,8.5,10,Mammalia,Carnivore,,No
Giraffe,28,456.25,168,1,Mammalia,Herbivore,,No
Gorilla,40,257,62.4,1,Mammalia,Omnivore,,No
SiberianMuskDeer,20,176,36,3,Mammalia,Herbivore,,No
LesserGoldFinch,10,13,4.3,,Aves,Omnivore,4,Yes
Lion,14,110,68.4,3,Mammalia,Carnivore,,No
Cheetah,12,98,52.8,4,Mammalia,Carnivore,,No
CommonChimpanzee,50,243,34.8,1,Mammalia,Omnivore,,No
GiantPanda,20,160,66,2,Mammalia,Omnivore,,No
Canary,10,14,6.9,,Aves,Herbivore,5,Yes
Coyote,8,63,32.4,12,Mammalia,Omnivore,,No
Skunk,10,61,26,6,Mammalia,Omnivore,,No
Cougar,13,91,80.4,6,Mammalia,Carnivore,,No
MalayanTapir,30,395.417,87.6,1,Mammalia,Herbivore,,No
Ferret,10,42,15,8,Mammalia,Carnivore,,No
KillerWhale,29,547.501,276,1,Mammalia,Carnivore,,No
BottlenoseDolphin,50,365,118,1,Mammalia,Carnivore,,No
Ocelot,20,82,34.8,3,Mammalia,Carnivore,,No
HammerheadShark,35,334.584,240,15,Chondrichthyes,Carnivore,,No
Pronghorn,10,235,55.2,2,Mammalia,Herbivore,,No
DuckbillPlatypus,17,14,18,,Mammalia,Carnivore,3,Yes
Tiger,18,112,108,4,Mammalia,Carnivore,,No
GroundHog,6,32,16,9,Mammalia,Herbivore,,No
RingTailedLemur,19,135,16.5,1,Mammalia,Herbivore,,No
SiberianChipmunk,10,35,8.6,5,Mammalia,Herbivore,,No
