Participant,Tango,Renegade,Whip,NaeNae,Spongebob,Woah,Floss,Moonwalk,Worm,Wop,Sport,OrgDance,Flexible,Enjoy,Total
Person1,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,5,No,4
Person2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8,Yes,10
Person3,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7,Yes,9
Person4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,No,12
Person5,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,9,Yes,6
Person6,No,No,No,No,No,No,No,No,No,No,Yes,No,1,No,1
Person7,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,6,Yes,3
Person8,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,1,No,3
Person9,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,8,Yes,7
Person10,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,4,Yes,5
Person11,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,2,Yes,7
Person12,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,6,Yes,5
Person13,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,8,Yes,9
Person14,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,5,No,6
Person15,No,No,No,No,No,Yes,No,No,No,No,No,No,1,No,1
Person16,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,7,No,3
Person17,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,5,Yes,4
Person18,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,8,Yes,5
Person19,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,7,No,3
Person20,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,No,8
Person21,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,6,Yes,7
Person22,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2,Yes,8
Person23,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,6,Yes,8
Person24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,9,Yes,10
Person25,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,3,Yes,5
Person26,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,6,Yes,9
Person27,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,10,Yes,7
Person28,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,8,Yes,9
Person29,No,No,Yes,Yes,No,No,No,No,No,No,No,No,1,No,2
Person30,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,7,Yes,6
Person31,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,3,Yes,6
Person32,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,4,No,5
Person33,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,1,Yes,7
Person34,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,9,Yes,8
Person35,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,7,No,3
Person36,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,4,Yes,4
Person37,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,9,Yes,4
Person38,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,6,No,8
Person39,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,8,Yes,4
Person40,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,4,Yes,7
Person41,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,Yes,2
Person42,No,No,No,No,No,No,No,No,No,No,Yes,No,6,No,1
Person43,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,3,Yes,7
Person44,No,No,No,No,No,No,No,No,No,No,Yes,No,6,No,1
Person45,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,7,Yes,4
Person46,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Yes,10
Person47,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,10,Yes,7
Person48,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,4,Yes,6
Person49,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,8,No,6
Person50,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,7,Yes,7
