SpendOnYou,MilesRan,ToppingNum,ToppingType,GiveUp,TextsSent,TextsReceived,GroupText,TextOften,Active,Generous,Gender,SpeedAlone,SpeedPassenger,HardestGiveUp,Personality,Location
100,3.2,1,Only cheese (no extra toppings),Caffeine,30,30,10,Friend,Yes,Yes,Female,65,65,Dairy,Extrovert,Quiet Place
100,3.2,0,Only cheese (no extra toppings),Caffeine,30,30,10,Friend,Yes,Yes,Female,65,65,Dairy,Extrovert,Quiet Place
200,3.1,4,Mostly veggie toppings,Meat,,76,28,Friend,Yes,Yes,Male,90,75,Desserts,Extrovert,Quiet Place
150,2.5,4,A bit of BOTH veggie and meat toppings,Caffeine,12,15,7,Friend,Yes,Yes,Male,80,75,Meat,Extrovert,Natural Light
800,6,3,Mostly meat toppings,Desserts,25,25,28,Friend,Yes,Yes,Male,85,70,Meat,Extrovert,Quiet Place
800,6,3,Mostly meat toppings,Desserts,25,25,28,Friend,Yes,Yes,Male,85,70,Meat,Extrovert,Natural Light
500,1.5,2,Mostly meat toppings,Caffeine,50,20,19,Significant Other,Yes,Yes,Female,75,70,Desserts,Extrovert,Quiet Place
300,4,1,Mostly meat toppings,Caffeine,9,14,33,Friend,Yes,Yes,Female,80,75,Meat,Extrovert,Natural Light
750,2,3,Mostly meat toppings,Dairy,100,100,38,Significant Other,Yes,Yes,Male,80,70,Meat,Introvert,Natural Light
500,1,4,Mostly veggie toppings,Meat,100,100,27,Significant Other,Yes,Yes,Female,80,65,Dairy,Introvert,Outside
300,2,1,Only cheese (no extra toppings),Caffeine,35,200,14,Family,Yes,Yes,Female,75,70,Desserts,Extrovert,Natural Light
300,2,2,Mostly meat toppings,Caffeine,2,6,13,Family,Yes,Yes,Female,75,75,Dairy,Introvert,Quiet Place
750,20,2,A bit of BOTH veggie and meat toppings,Caffeine,10,7,12,Significant Other,Yes,Yes,Male,95,80,Meat,Introvert,Quiet Place
1000,6.5,1,Mostly veggie toppings,Dairy,15,24,8,Friend,Yes,Yes,Female,80,70,Caffeine,Extrovert,Quiet Place
800,4,7,Mostly veggie toppings,Meat,40,50,8,Significant Other,No,Yes,Female,80,69,Caffeine,Extrovert,Public Place
100,5,2,Mostly veggie toppings,Desserts,5,10,7,Significant Other,Yes,Yes,Male,75,75,Caffeine,Introvert,Quiet Place
