SpendOnYou,LongestRun,PizzaToppings,ToppingPref,GiveUp,TextsSent,TextsReceived,GroupText,TextOften,Active,Generous,Gender,HighwayAlone,HighwayPassenger,CoffeeFreq,StudyLocationOriginal,Personality,StudyLocation
400,1,3,Mostly veggie toppings,Meat,50,50,3,Friend,No,"Yes, I'm a pretty generous person",Female,75,70,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
850,7,4,Mostly veggie toppings,Caffeine,20,25,17,Significant Other,Yes,"Yes, I'm a pretty generous person",Female,75,75,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
550,2.5,4,Mostly meat toppings,,23,24,7,Family,Yes,"No, I could be a bit more generous",Male,70,65,Almost daily,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
1000,0.5,2,Mostly veggie toppings,Meat,20,20,5,Significant Other,Yes,"No, I could be a bit more generous",Female,80,75,A couple times a week,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
400,10,2,Mostly meat toppings,Desserts,15,20,31,Significant Other,Yes,"Yes, I'm a pretty generous person",Female,75,70,Almost daily,"An indoor space with lots of natural light & windows (i.e. you like a climate controlled environment, and view/light takes priority over noise)",Introvert,Natural Light
300,1,2,Mostly meat toppings,Caffeine,0,1,4,Family,No,"Yes, I'm a pretty generous person",Male,75,68,Hardly ever,"An indoor space with lots of natural light & windows (i.e. you like a climate controlled environment, and view/light takes priority over noise)",Introvert,Natural Light
800,1,4,A bit of BOTH veggie and meat toppings,Caffeine,160,160,12,Friend,No,"No, I could be a bit more generous",Female,60,55,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
700,1.5,2,Only cheese (no extra toppings),Meat,25,20,93,Significant Other,No,"Yes, I'm a pretty generous person",Female,75,65,Almost daily,"An indoor space with lots of natural light & windows (i.e. you like a climate controlled environment, and view/light takes priority over noise)",Extrovert,Natural Light
500,4.5,1,Only cheese (no extra toppings),Caffeine,75,75,10,Friend,Yes,"Yes, I'm a pretty generous person",Female,85,75,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
600,8,0,Only cheese (no extra toppings),Dairy,,,32,Friend,Yes,"Yes, I'm a pretty generous person",Female,90,80,Almost daily,"In a public coffee-shop-like place (e.g. dining hall, GQ, Starbucks, Panera, etc.)",Extrovert,Public Space
