State,MinimumWage,PartyAff2016,TimeZones,Climate,Union
Alabama,0,Rep,Cental,South,1819
Alaska,10.19,LeanRep,Alaska,North,1959
Arizona,12,Swing,Mountain,South,1912
Arkansas,10,Rep,Central,South,1836
California,13,Dem,Pacific,Central,1850
Colorado,12,Swing,Mountain,Central,1876
Connecticut,11,Dem,Eastern,North,1788
Delaware,9.25,Dem,Eastern,Central,1787
Florida,8.56,Switch,Eastern,South,1845
Georgia,5.15,Switch,Eastern,South,1788
Hawaii,10.1,Dem,Hawaii,N/A,1959
Idaho,7.25,Rep,Mountain,South,1890
Illinois,9.25,Dem,Central,Central,1818
Indiana,7.25,LeanRep,Eastern,Central,1816
Iowa,7.25,LeanRep,Central,Central,1846
Kansas,7.25,Rep,Central,Central,1861
Kentucky,7.25,LeanRep,Eastern,Central,1792
Louisiana ,0,Swing,Central,South,1812
Maine,12,Swing,Eastern,North,1820
Maryland,11,Dem,Eastern,Central,1788
Massachusetts,12.75,Dem,Eastern,North,1788
Michigan,9.65,Swing,Eastern,North,1837
Minnesota,10,Swing,Central,North,1858
Mississippi,0,Rep,Central,South,1817
Missouri,9.45,LeanRep,Central,Central,1821
Montana,8.65,Rep,Mountain,North,1889
Nebraska,9,Rep,Central,Central,1867
Nevada,8.25,Swing,Pacific,Central,1864
New Hampshire,0,Swing,Eastern,North,1788
New Jersey,11,Dem,Eastern,Central,1787
New Mexico,9,LeanDem,Mountain,South,1912
New York,11.8,Dem,Eastern,North,1788
North Carolina,7.25,Switch,Eastern,Central,1789
North Dakota,7.25,Rep,Central,North,1889
Ohio,8.7,LeanRep,Eastern,Central,1803
Oklahoma ,7.25,Rep,Central,South,1907
Oregon,11.25,Dem,Pacific,North,1859
Pennsylvania,7.25,Swing,Eastern,Central,1787
Rhode Island,10.5,Dem,Eastern,North,1790
South Carolina,0,Rep,Eastern,South,1788
South Dakota,9.3,Rep,Central,North,1889
Tennessee,0,Rep,Central,Central,1796
Texas,7.25,Swing,Central,South,1845
Utah,7.25,Rep,Mountain,Central,1896
Vermont,10.96,Dem,Eastern,North,1791
Virginia,7.25,Swing,Eastern,Central,1788
Washington,13.5,Dem,Pacific,North,1889
West Virginia,8.75,LeanRep,Eastern,Central,1863
Wisconsin,7.25,Swing,Central,North,1848
Wyoming,5.15,Rep,Mountain,North,1890
